id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_30,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_96,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_15,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_16,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_94,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_90,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_52,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_78,830,195,653,536,587,100.00,100.00,100.00,100.00,4.256,1.271,1.549,1.414
values_20,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_53,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_43,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_42,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_0,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_61,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_97,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_14,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_87,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_50,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_83,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_67,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_86,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_23,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_64,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_44,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_71,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_93,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_88,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_26,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_59,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_57,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_82,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_75,830,195,653,536,587,100.00,100.00,100.00,100.00,4.256,1.271,1.549,1.414
values_51,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_7,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_92,830,198,656,539,590,100.00,100.00,100.00,100.00,4.192,1.265,1.540,1.407
values_56,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_47,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
values_95,830,195,653,536,587,100.00,100.00,100.00,100.00,4.256,1.271,1.549,1.414
values_98,830,195,653,536,587,100.00,100.00,100.00,100.00,4.256,1.271,1.549,1.414
values_8,830,195,653,536,587,100.00,100.00,100.00,100.00,4.256,1.271,1.549,1.414
values_18,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_28,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_81,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_17,8,19,38,37,43,100.00,57.14,35.71,100.00,0.421,0.211,0.216,0.186
values_38,488,105,297,261,296,100.00,100.00,92.86,100.00,4.648,1.643,1.870,1.649
values_41,838,211,688,576,634,100.00,100.00,100.00,100.00,3.972,1.218,1.455,1.322
