id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,366,311,1137,2005,1539,100.00,100.00,100.00,100.00,1.177,0.322,0.183,0.238
values_30,131,122,440,788,625,100.00,100.00,100.00,100.00,1.074,0.298,0.166,0.210
values_96,650,428,1572,2776,2133,100.00,100.00,100.00,100.00,1.519,0.413,0.234,0.305
values_15,228,200,728,1292,1005,100.00,100.00,100.00,100.00,1.140,0.313,0.176,0.227
values_16,133,128,462,826,653,100.00,100.00,100.00,100.00,1.039,0.288,0.161,0.204
values_94,623,413,1516,2676,2055,100.00,100.00,100.00,100.00,1.508,0.411,0.233,0.303
values_90,822,530,1947,3427,2617,100.00,100.00,100.00,100.00,1.551,0.422,0.240,0.314
values_52,504,338,1240,2196,1697,100.00,100.00,100.00,100.00,1.491,0.406,0.230,0.297
values_78,1108,710,2614,4602,3513,100.00,100.00,100.00,100.00,1.561,0.424,0.241,0.315
values_20,707,455,1671,2947,2259,100.00,100.00,83.33,100.00,1.554,0.423,0.240,0.313
values_53,168,158,573,1021,801,100.00,100.00,100.00,100.00,1.063,0.293,0.165,0.210
values_43,967,623,2291,4031,3075,100.00,100.00,100.00,100.00,1.552,0.422,0.240,0.314
values_42,303,263,962,1706,1323,100.00,100.00,100.00,100.00,1.152,0.315,0.178,0.229
values_0,151,137,495,883,695,100.00,100.00,100.00,100.00,1.102,0.305,0.171,0.217
values_61,937,605,2225,3917,2991,100.00,100.00,100.00,100.00,1.549,0.421,0.239,0.313
values_97,543,359,1315,2319,1779,100.00,100.00,100.00,100.00,1.513,0.413,0.234,0.305
values_14,57,59,204,364,291,100.00,100.00,100.00,100.00,0.966,0.279,0.157,0.196
values_87,189,167,606,1078,843,100.00,100.00,100.00,100.00,1.132,0.312,0.175,0.224
values_50,756,494,1818,3214,2473,100.00,100.00,100.00,100.00,1.530,0.416,0.235,0.306
values_83,1238,794,2923,5139,3913,100.00,100.00,100.00,100.00,1.559,0.424,0.241,0.316
values_67,868,560,2061,3637,2789,100.00,100.00,100.00,100.00,1.550,0.421,0.239,0.311
values_86,98,95,338,602,475,100.00,100.00,100.00,100.00,1.032,0.290,0.163,0.206
values_23,48,53,181,321,255,100.00,100.00,100.00,100.00,0.906,0.265,0.150,0.188
values_64,77,77,272,488,391,100.00,100.00,100.00,100.00,1.000,0.283,0.158,0.197
values_44,6,14,35,42,30,100.00,100.00,66.67,100.00,0.429,0.171,0.143,0.200
values_71,862,554,2037,3589,2745,100.00,100.00,100.00,100.00,1.556,0.423,0.240,0.314
