inputName,k,size,arr[size]
values_84,2,24,"{7503312859770806892, -5568940552254964735, 917166378529012783, 7578264159575660129, 619524911441715508, -7292323334738464451, 8830666923643320964, 4808438070185912258, 8967154983858943454, -3575872500963410069, 8491040577493063014, -4114351363910185864, -5830996082869921528, -4487659119907975154, 2179739936079307973, 8870639887651940610, -2502133719957953116, 1178377167947309429, 4952246907097180010, -437837372289984927, -2881643450407746528, 8494041036604087538, 6913608682145975304, 3584119474144579716"
values_30,2,22,"{-5665848734193803364, 6421544461501951340, -5787841204132734551, 6155653103938412081, 4459550510056807979, 9062757818391662795, 5538513360132033242, -8491308423520529591, -476010676005614242, 426244914006153876, 8195288544451280844, -4188669122655817360, -9128228528436063746, 3361634806866367564, -4217397791964492256, 8664066581194559159, -2031532686074363656, 5077215173512467834, 1739360563231886845, -5200962640778730717, 4364131334569921993, 7528437466859899189"
values_96,2,5,"{-546093379579945038, 3779666821318656278, 7865695212357592044, -1570956542021564848, -8034311147904489713"
values_15,2,25,"{1543618098698182094, 575213258908360425, -927116674089644517, -744508937652526815, -6825148213857243436, 7372270038064509381, -7994766299875484380, -2155229360921092649, -1888528223206281702, 6905541709764636555, -8256974002624461914, -3860363175033264543, -1934001208901216875, 4159540582776652661, 5910981828887753167, 5832618971278452288, 8566875366017323602, -4546196653264580872, 1089369675807495337, -8116372514532399211, 6747162854827412627, -8895477543759145172, 38452130978798735, -3414039496330453644, -3806525292375117256"
values_16,2,32,"{-6697146182830665897, 6412090269542543915, -5639992695258278168, -6193256280356013186, 953463284497843644, 7135523174899782393, -4330877771994644468, -5670603765134817631, 5719035329946711083, 5284088583299453733, 82847876352238821, -2518139839638908172, -9028433346936281493, 8025627889135237791, -2856775215448744587, 543741296516157857, 3248052975005100244, -655559886499675380, 2936371465007276081, -8198684087412934235, 6408013822785496393, 4315509314114957831, -2366474729408971730, -5494558105918030234, -1220984122631912622, -4847530160689725122, -2045159626306560809, -3193925913811253240, 5317214947484011377, 1296984367286647285, -7788661185337912560, -7268250805221086824"
values_94,2,6,"{2743974105315213037, 5355929221598617899, -8078454429327799831, 6644969227582376537, 1985057104251362554, -5879632752500692501"
values_90,2,25,"{-8556906047796468694, 866096131627647961, -6567861633599462798, -2500141894667236814, 3725731762994549304, 5229435352954828753, -6509157863762831452, -856985698154964854, 5062212877700284393, 3946480605017540424, 124596017820483859, -3600555544393657754, 578478284750651931, 4660912444500857858, -3685273412553456022, -7924387483970055446, 4263912886410085381, -6288792053164974738, -2505331758841559763, -1827219172086230360, -4733626677339915240, -9000603522640727801, 263888889390136134, -6911889840645094671, 1463649503365941988"
values_52,2,30,"{-177963642957910850, 6275116530657834711, -6318872663236732251, 2994247020569618816, 4119472863860237246, -4002146765802841446, 7806026008472460, 6094704003558229764, -1866973796111480549, -8080573432463202168, 7055201111030173374, -4525084610484287460, -7488716859904012783, -574906473179375377, -4442388547960472435, -1827208477347259385, -5464902225971380697, -2229007963074835298, -5238365742527515248, 4899076778443963270, 6217225499657132001, -7426304680914073306, 6192341783793451143, 6009438322595079970, 1440260831349346222, -8542191643740821037, 2259205988314974148, 1332405759664064069, 6394983183374794112, 1476278166124590477"
values_78,2,23,"{-2667423106087825460, -569424559259760843, 5570174105110092640, -7411474955427228431, -1543789105825725207, 5496720547841897737, 1043864720598955476, 6861751257321653397, 6802498299507528196, -1315564647819726875, 7095751334572923125, -3889729327782655729, 4599229678635545748, 7390881265940289832, 7707542587270858234, 8210454224250494026, 5247568246666144606, -1714448468338134705, -1359064283258615787, 3527546869481324241, 1950565048897193644, 1466068567009002218, -6368276479411410137"
values_20,2,5,"{2166133921358328204, 33457217809414582, -2389446252285793961, 3007475048977775617, 7836755048420667380"
values_53,2,26,"{-5053243993022288897, -9114059462971360754, 165624437200956588, 2021578663778162949, 8547249556169090522, -6500493157129813682, -746021830356476994, -5437900947731840170, 3126526041683685253, -1806787312371852822, -5385671141059243756, -7296272686169118991, 7948886977858485089, 5544477954259337203, -2716128041755257613, -6621915112448430759, -8340093697560445597, 1089089476824620949, -1079122086633161852, 5529050070942590884, -7570830026841004554, -8606969839857753225, -4681554686302965924, -3941774620076393360, -8139246860949891712, -4270167419016050133"
values_43,2,15,"{1260423015007017668, -138876934775385324, -5250718230231528866, 1969955026102280358, -2132754494923770484, 2549420499936641959, 8457489911711436419, -4629248965309411757, -2297283955935048582, 7911343748196652383, -8711609016871303042, -7543012375696130703, 3953705265306213934, -7101789394681223069, 3644517259212305693"
values_42,2,10,"{4406931492286311546, -2173051587884501740, 8371316728513727218, -370586179854443519, 3982107457450137762, 1165364125283787664, -148391226818598634, 5633905287988054057, -2312664894760251939, 5470736954417333518"
values_0,2,3,"{1849674891976049732, -5937670878292214041, 3014325048653627438"
values_61,2,15,"{4011458390175314793, -1018049955083771283, 620327431282641624, 731469173127622118, 1881496581335163240, 8466829231734019104, 1456821603044274919, 2628781420414827432, -7993120050674310696, -3097504228016289382, 5250064369926665350, 4531963663920823021, -860756978631009599, 6852795417115831754, 2293433077090577965"
values_97,2,19,"{1793750099619583774, -4556853251936562449, 3115368271856901278, -4466836784894281741, 6338237069477311990, 359742427356766208, 5171274765333225558, -7736807540347409738, -1499366619778530919, -5446091932147744036, -321547684210156461, -9021426784399528006, -6293347546318557796, -5758629826508087426, -8485426187210843712, 5340510080998793701, -8315005038554562800, 3723543872300112780, 8249073016755567765"
values_14,2,22,"{-3158356340928327921, 7646580792109694499, -1723013993622829425, -496911703204884963, 1893981865435135580, 1380977761098184090, -1548746804504073541, 1684048306384556693, 2679343527919653334, -8484247136290386527, 1543615353041110669, -8541516411078724837, -7099504412851066963, -7218687955470848801, -4229607570046455099, -5962492073243655793, 3887271716536486126, -813917123524378811, -2800042970648346578, 253128728132891240, 8053090471166323439, -1428579138217590458"
values_87,2,4,"{-1373133888525610167, 1943226608476268251, 5814375378274104574, -4910984165883480841"
values_50,2,22,"{-576449501520047552, 5365158541592796240, 5904898613863655424, -8350954905358540942, 8329178050660019544, -5945368814330131839, 5001711793756169483, 5588540770594500169, 8483299792395975789, 660944416654780862, 9152539171659732619, 5624947245913516522, -7266571496472693046, -6519872556736284123, -6948367796523768821, -7812609141130789624, 673264203329360777, -5981283450218967406, 8619728612836224717, -301515461018768929, 9203344591869843779, -3475184281106308511"
values_83,2,6,"{3831339532450162989, -7272656274781210253, -4354658206263105998, 1444449956956066251, -6187769719771087191, 1250043479257259779"
values_67,2,4,"{8518209666127638790, 3144381047729990835, 8548320367602378555, 7718846040801213593"
values_86,2,21,"{8551775269990715081, 123636718545228670, -5780867821910586851, 8556944343659223743, -2390236259592323645, 2697402984249817686, 4292084762245457331, 5654405002490672608, -2732606675262648145, 8129798492646124233, -5190601769664274981, -3376443992339507892, -5483605061127826786, 5556459597695343627, -6997194100950767325, 6868427956580613698, 3540626241903423045, -7117741467412973884, -6388438691344139479, 5818528003155923113, -6244376139621532430"
values_23,2,22,"{8599087509041427078, 4527877466821467140, 8487446682264184633, 6150935654586265756, -385115270541521597, -6776218025729606110, -2037739517534574568, -1150090701302922334, 6042617982287479265, 4190062185945207177, -6044518608285430038, -6667792258869705177, -4780139937515779244, 3999665487324964002, 8029989466517751567, -6154283372609543054, -8526814403379174926, 8711596290137939758, -3490064786340780783, 6787271399815042837, 2278994134682378400, 6780401824824328737"
values_64,2,5,"{-5853851875638845815, 5202361052773245995, 4592630941976043504, -6994269784703362952, -1770591304284091259"
values_44,2,15,"{-4029114925692902119, -6272689296271059597, 7371937230894101133, -3020012535975057159, 6538633178651976815, -5494155841978575170, 1392447172701885451, -7165592144137846318, 1143330632789875631, -8140376116974006199, 1644077216627761731, -955761119090163747, -647034106141572372, -2740853929591369193, 6510731777664054658"
values_71,2,28,"{-8945073531433720601, 7371428635705133277, 4479369186120215293, 6875340751348632092, 1742620949464399612, 3007511498892225519, 4609997244989565110, -6187910551850268971, 4621959414396122130, 9202697080120784360, -5161122510996459145, 5507596624967989372, -276689804271607370, -3780604725690776590, 3323362248202700932, 2515223566342727005, -360710929184664714, 5098768771405432704, 6826514785204483332, 7443393203920175019, -9087634651867359215, 2346423101159164355, -8026396104662293281, 997806171743520148, 6696643503357902884, -49847502211036524, -8931363256458679074, 611187019971950638"
values_93,2,24,"{4185387624814450773, 3941905251354733737, -3436751753619709699, -6940008759192096993, -6437976883027059761, 8421124985294379732, 2621704516130185644, 3152395507243550767, 8813084327080277776, -405071598067212134, -594468707656454398, 8492231373727325393, -6878286413584962718, -4542372403664561986, -8582158906569189110, 3072022787528063590, 2917245849459215118, 7367231969646297366, -8804203198203016560, -7547080365180129429, 5076908491364825851, -648155449604718331, 8086862122238954113, -1723212028413442695"
values_88,2,15,"{-2550870032414470795, 5551148255143126389, 862634816935785347, -387079775867316938, 1708347829109439212, 1985230048241946926, 9199844842955307578, 7812301361738492544, 425875712388500141, 3359215853533632602, 500376961226290463, -3246142512781532246, -6056227588538551374, -5835303241395352092, -3249830279061011069"
values_26,2,28,"{2230366990361675043, 8991570706114905483, 8441789446939287480, -7463585654104040871, -3967110439278367265, -2110330592854519030, -2529974631754211500, 4560388258010009037, 6472509172870113814, -1492981119785000458, -1152321505302042366, -6966875081803977952, -2954830351544368779, 724153852536498323, -9005142009550084742, 83442577349722033, -8230202520059775167, 4009998125867811772, 4857405187381031615, -5894085255792512607, -8589410521907643050, 3101869907957753402, 5757386052164199597, 2844944056837188317, -2911254668233850965, -8793544152297403293, 2615472423308547143, -6420373688533179639"
values_59,2,18,"{-988544340156853645, 7667480210364709671, 5272013284044571506, 9092722677384212313, 9042851369355834164, 7923570720418568070, -2954191415350469090, 5709017775393846766, 1819503668720942523, 3618028431301154266, -4949642832679286287, 433076683473267043, -9208756299405929927, 4690456648967347296, 1359075173354760268, 949824400227110712, -1835685864803313325, 8569970674536516209"
values_57,2,26,"{1824439716421704156, -3359307421318513474, -8570114406234516288, 8629401999369453323, -6310617189328608042, 3535526815949748654, 3194203021525826065, -2728750755620404793, 7966641633832589168, 7129959605224811794, -5457282518032508108, -4162298814438853143, -9024694996877266450, 1992997907807734664, 7403358598750997183, -2229717965158037518, 8112867336029916137, -8476747409032825970, 8769234059244508000, 1955511143308392623, -9017230758353387209, 6702344411671509122, 7224817363789060435, 4730285209907628974, 6097667231948126993, -6977185251868892506"
