id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,83,64,397,259,206,100.00,90.91,81.82,100.00,1.297,0.209,0.320,0.403
values_30,79,61,375,252,199,100.00,90.91,81.82,100.00,1.295,0.211,0.313,0.397
values_96,140,99,594,433,325,100.00,100.00,90.91,100.00,1.414,0.236,0.323,0.431
values_15,46,36,226,141,115,100.00,100.00,59.09,100.00,1.278,0.204,0.326,0.400
values_16,343,220,1296,1010,705,100.00,90.91,81.82,100.00,1.559,0.265,0.340,0.487
values_94,151,99,579,474,325,100.00,90.91,81.82,100.00,1.525,0.261,0.319,0.465
values_90,44,35,208,136,110,100.00,100.00,59.09,100.00,1.257,0.212,0.324,0.400
values_52,303,196,1165,906,638,100.00,90.91,81.82,100.00,1.546,0.260,0.334,0.475
values_78,202,134,818,619,440,100.00,90.91,77.27,100.00,1.507,0.247,0.326,0.459
values_20,230,148,860,704,486,100.00,90.91,86.36,100.00,1.554,0.267,0.327,0.473
values_53,234,154,931,690,493,100.00,90.91,81.82,100.00,1.519,0.251,0.339,0.475
values_43,391,245,1465,1143,790,100.00,100.00,90.91,100.00,1.596,0.267,0.342,0.495
values_42,107,76,457,337,248,100.00,90.91,77.27,100.00,1.408,0.234,0.318,0.431
values_0,219,148,875,667,486,100.00,100.00,86.36,100.00,1.480,0.250,0.328,0.451
values_61,73,58,345,234,187,100.00,90.91,72.73,100.00,1.259,0.212,0.312,0.390
values_97,54,42,233,165,128,100.00,90.91,59.09,100.00,1.286,0.232,0.327,0.422
values_14,99,72,422,305,231,100.00,90.91,77.27,100.00,1.375,0.235,0.325,0.429
values_87,36,32,180,118,98,100.00,90.91,50.00,100.00,1.125,0.200,0.305,0.367
values_50,208,138,832,631,449,100.00,90.91,86.36,100.00,1.507,0.250,0.330,0.463
values_83,193,120,697,609,400,100.00,90.91,77.27,100.00,1.608,0.277,0.317,0.482
values_67,367,232,1356,1080,747,100.00,90.91,77.27,100.00,1.582,0.271,0.340,0.491
values_86,10,10,34,27,24,100.00,27.27,13.64,100.00,1.000,0.294,0.370,0.417
values_23,105,76,434,321,240,100.00,90.91,72.73,100.00,1.382,0.242,0.327,0.438
values_64,12,11,52,32,29,100.00,27.27,13.64,100.00,1.091,0.231,0.375,0.414
values_44,255,171,1059,765,557,100.00,90.91,86.36,100.00,1.491,0.241,0.333,0.458
values_71,180,123,733,542,397,100.00,90.91,77.27,100.00,1.463,0.246,0.332,0.453
values_93,206,135,799,631,444,100.00,90.91,77.27,100.00,1.526,0.258,0.326,0.464
values_88,216,139,806,663,458,100.00,100.00,86.36,100.00,1.554,0.268,0.326,0.472
values_26,46,37,203,145,114,100.00,90.91,59.09,100.00,1.243,0.227,0.317,0.404
values_59,237,155,935,731,522,100.00,100.00,81.82,100.00,1.529,0.253,0.324,0.454
values_57,190,131,768,567,413,100.00,90.91,77.27,100.00,1.450,0.247,0.335,0.460
values_82,46,37,201,145,114,100.00,90.91,59.09,100.00,1.243,0.229,0.317,0.404
values_75,301,192,1137,922,636,100.00,90.91,86.36,100.00,1.568,0.265,0.326,0.473
values_51,200,133,800,613,435,100.00,90.91,77.27,100.00,1.504,0.250,0.326,0.460
values_7,281,184,1137,845,604,100.00,90.91,81.82,100.00,1.527,0.247,0.333,0.465
