id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,19,222,611,576,359,100.00,31.25,21.88,100.00,0.086,0.031,0.033,0.053
values_30,223,342,951,896,693,100.00,31.25,21.88,100.00,0.652,0.234,0.249,0.322
values_96,11,69,174,165,103,100.00,31.25,28.13,100.00,0.159,0.063,0.067,0.107
values_15,12,126,339,320,181,100.00,31.25,21.88,100.00,0.095,0.035,0.037,0.066
values_16,18,198,543,512,364,100.00,31.25,21.88,100.00,0.091,0.033,0.035,0.049
values_94,231,402,1121,1056,690,100.00,31.25,21.88,100.00,0.575,0.206,0.219,0.335
values_90,203,354,985,928,578,100.00,31.25,21.88,100.00,0.573,0.206,0.219,0.351
values_52,11,69,175,168,108,100.00,31.25,28.13,100.00,0.159,0.063,0.065,0.102
values_78,231,402,1121,1056,690,100.00,31.25,21.88,100.00,0.575,0.206,0.219,0.335
values_20,12,78,203,192,206,100.00,31.25,21.88,100.00,0.154,0.059,0.062,0.058
values_53,255,390,1087,1024,824,100.00,31.25,21.88,100.00,0.654,0.235,0.249,0.309
values_43,12,102,271,256,166,100.00,31.25,21.88,100.00,0.118,0.044,0.047,0.072
values_42,12,90,237,224,268,100.00,31.25,21.88,100.00,0.133,0.051,0.054,0.045
values_0,19,222,611,576,359,100.00,31.25,21.88,100.00,0.086,0.031,0.033,0.053
values_61,161,282,781,736,502,100.00,31.25,21.88,100.00,0.571,0.206,0.219,0.321
values_97,159,246,679,640,455,100.00,31.25,21.88,100.00,0.646,0.234,0.248,0.349
values_14,133,234,645,608,396,100.00,31.25,21.88,100.00,0.568,0.206,0.219,0.336
values_87,12,102,271,256,166,100.00,31.25,21.88,100.00,0.118,0.044,0.047,0.072
values_50,223,342,951,896,693,100.00,31.25,21.88,100.00,0.652,0.234,0.249,0.322
values_83,18,210,577,544,307,100.00,31.25,21.88,100.00,0.086,0.031,0.033,0.059
values_67,203,354,985,928,578,100.00,31.25,21.88,100.00,0.573,0.206,0.219,0.351
values_86,203,354,985,928,578,100.00,31.25,21.88,100.00,0.573,0.206,0.219,0.351
values_23,12,54,135,128,112,100.00,31.25,21.88,100.00,0.222,0.089,0.094,0.107
values_64,12,114,305,288,147,100.00,31.25,21.88,100.00,0.105,0.039,0.042,0.082
values_44,11,69,175,168,108,100.00,31.25,28.13,100.00,0.159,0.063,0.065,0.102
values_71,18,198,543,512,364,100.00,31.25,21.88,100.00,0.091,0.033,0.035,0.049
values_93,12,150,407,384,261,100.00,31.25,21.88,100.00,0.080,0.029,0.031,0.046
values_88,159,246,679,640,455,100.00,31.25,21.88,100.00,0.646,0.234,0.248,0.349
values_26,17,162,441,416,223,100.00,31.25,21.88,100.00,0.105,0.039,0.041,0.076
values_59,19,222,611,576,359,100.00,31.25,21.88,100.00,0.086,0.031,0.033,0.053
values_57,175,306,849,800,474,100.00,31.25,21.88,100.00,0.572,0.206,0.219,0.369
values_82,182,318,883,832,543,100.00,31.25,21.88,100.00,0.572,0.206,0.219,0.335
values_75,189,330,917,864,616,100.00,31.25,21.88,100.00,0.573,0.206,0.219,0.307
values_51,12,114,305,288,147,100.00,31.25,21.88,100.00,0.105,0.039,0.042,0.082
values_7,161,282,781,736,502,100.00,31.25,21.88,100.00,0.571,0.206,0.219,0.321
values_92,11,69,175,168,108,100.00,31.25,28.13,100.00,0.159,0.063,0.065,0.102
values_56,12,90,237,224,268,100.00,31.25,21.88,100.00,0.133,0.051,0.054,0.045
values_47,12,114,305,288,147,100.00,31.25,21.88,100.00,0.105,0.039,0.042,0.082
values_95,12,78,203,192,206,100.00,31.25,21.88,100.00,0.154,0.059,0.062,0.058
values_98,19,222,611,576,359,100.00,31.25,21.88,100.00,0.086,0.031,0.033,0.053
values_8,11,69,175,168,108,100.00,31.25,28.13,100.00,0.159,0.063,0.065,0.102
values_18,191,294,815,768,570,100.00,31.25,21.88,100.00,0.650,0.234,0.249,0.335
values_28,217,378,1053,992,738,100.00,31.25,21.88,100.00,0.574,0.206,0.219,0.294
values_81,12,150,407,384,261,100.00,31.25,21.88,100.00,0.080,0.029,0.031,0.046
values_17,11,69,174,165,103,100.00,31.25,28.13,100.00,0.159,0.063,0.067,0.107
values_38,189,330,917,864,616,100.00,31.25,21.88,100.00,0.573,0.206,0.219,0.307
values_41,12,150,407,384,261,100.00,31.25,21.88,100.00,0.080,0.029,0.031,0.046
values_73,133,234,645,608,396,100.00,31.25,21.88,100.00,0.568,0.206,0.219,0.336
values_66,231,402,1121,1056,690,100.00,31.25,21.88,100.00,0.575,0.206,0.219,0.335
values_58,191,294,815,768,570,100.00,31.25,21.88,100.00,0.650,0.234,0.249,0.335
values_70,159,246,679,640,455,100.00,31.25,21.88,100.00,0.646,0.234,0.248,0.349
values_46,17,162,441,416,223,100.00,31.25,21.88,100.00,0.105,0.039,0.041,0.076
values_11,12,54,135,128,112,100.00,31.25,21.88,100.00,0.222,0.089,0.094,0.107
values_33,19,222,611,576,359,100.00,31.25,21.88,100.00,0.086,0.031,0.033,0.053
values_72,17,162,441,416,223,100.00,31.25,21.88,100.00,0.105,0.039,0.041,0.076
values_6,17,174,475,448,266,100.00,31.25,21.88,100.00,0.098,0.036,0.038,0.064
values_10,147,258,713,672,378,100.00,31.25,21.88,100.00,0.570,0.206,0.219,0.389
values_27,12,126,339,320,181,100.00,31.25,21.88,100.00,0.095,0.035,0.037,0.066
values_24,133,234,645,608,396,100.00,31.25,21.88,100.00,0.568,0.206,0.219,0.336
values_3,239,366,1019,960,656,100.00,31.25,21.88,100.00,0.653,0.235,0.249,0.364
values_69,223,342,951,896,693,100.00,31.25,21.88,100.00,0.652,0.234,0.249,0.322
values_36,154,270,747,704,438,100.00,31.25,21.88,100.00,0.570,0.206,0.219,0.352
values_21,17,162,441,416,223,100.00,31.25,21.88,100.00,0.105,0.039,0.041,0.076
values_5,18,198,543,512,364,100.00,31.25,21.88,100.00,0.091,0.033,0.035,0.049
values_49,12,138,373,352,219,100.00,31.25,21.88,100.00,0.087,0.032,0.034,0.055
values_1,203,354,985,928,578,100.00,31.25,21.88,100.00,0.573,0.206,0.219,0.351
values_2,239,366,1019,960,656,100.00,31.25,21.88,100.00,0.653,0.235,0.249,0.364
values_13,12,126,339,320,181,100.00,31.25,21.88,100.00,0.095,0.035,0.037,0.066
values_32,18,198,543,512,364,100.00,31.25,21.88,100.00,0.091,0.033,0.035,0.049
values_39,11,69,175,168,108,100.00,31.25,28.13,100.00,0.159,0.063,0.065,0.102
values_4,12,114,305,288,147,100.00,31.25,21.88,100.00,0.105,0.039,0.042,0.082
values_65,182,318,883,832,543,100.00,31.25,21.88,100.00,0.572,0.206,0.219,0.335
values_85,133,234,645,608,396,100.00,31.25,21.88,100.00,0.568,0.206,0.219,0.336
values_62,18,198,543,512,364,100.00,31.25,21.88,100.00,0.091,0.033,0.035,0.049
