ID_VAL,DSP,BRAM,Flip_Flop,Area,min_Slack,Max_Freq,Clock_Cycles
values_84,4.0,32.0,711.0,9741.0,1.1102230246251565e-16,325.5844239351484,191.0
values_30,4.0,32.0,723.0,8913.0,1.1102230246251565e-16,325.5844239351484,601.0
values_96,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1141.0
values_15,4.0,32.0,720.0,8924.0,1.1102230246251565e-16,325.5844239351484,478.0
values_16,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1195.0
values_94,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,690.0
values_90,4.0,32.0,710.0,9741.0,1.1102230246251565e-16,325.5844239351484,86.0
values_52,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1460.0
values_78,4.0,32.0,710.0,9750.0,1.1102230246251565e-16,325.5844239351484,146.0
values_20,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,729.0
values_53,4.0,32.0,711.0,9741.0,1.1102230246251565e-16,325.5844239351484,183.0
values_43,4.0,32.0,720.0,8924.0,1.1102230246251565e-16,325.5844239351484,294.0
values_42,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,764.0
values_0,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,446.0
values_61,4.0,32.0,720.0,8924.0,1.1102230246251565e-16,325.5844239351484,319.0
values_97,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1362.0
values_14,4.0,32.0,720.0,8915.0,1.1102230246251565e-16,325.5844239351484,386.0
values_87,4.0,16.0,772.0,8914.0,1.1102230246251565e-16,325.5844239351484,1041.0
values_50,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,113.0
values_83,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,965.0
values_67,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,164.0
values_86,4.0,16.0,772.0,8914.0,1.1102230246251565e-16,325.5844239351484,1092.0
values_23,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,338.0
values_64,4.0,32.0,723.0,8913.0,1.1102230246251565e-16,325.5844239351484,612.0
values_44,4.0,32.0,707.0,9739.0,1.1102230246251565e-16,325.5844239351484,36.0
values_71,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1183.0
values_93,4.0,32.0,710.0,9741.0,1.1102230246251565e-16,325.5844239351484,87.0
values_88,4.0,32.0,709.0,9750.0,1.1102230246251565e-16,325.5844239351484,54.0
values_26,4.0,32.0,710.0,9750.0,1.1102230246251565e-16,325.5844239351484,139.0
values_59,4.0,32.0,720.0,8924.0,1.1102230246251565e-16,325.5844239351484,301.0
values_57,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,894.0
values_82,4.0,16.0,772.0,8915.0,1.1102230246251565e-16,325.5844239351484,900.0
values_75,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,708.0
values_51,4.0,32.0,707.0,9739.0,1.1102230246251565e-16,325.5844239351484,37.0
values_7,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1157.0
values_92,4.0,32.0,723.0,8913.0,1.1102230246251565e-16,325.5844239351484,626.0
values_56,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1133.0
values_47,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1198.0
values_95,4.0,16.0,772.0,8914.0,1.1102230246251565e-16,325.5844239351484,1063.0
values_98,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,360.0
values_8,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,669.0
values_18,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,336.0
values_28,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1108.0
values_81,4.0,32.0,720.0,8924.0,1.1102230246251565e-16,325.5844239351484,483.0
values_17,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1060.0
values_38,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1187.0
values_41,4.0,32.0,707.0,9739.0,1.1102230246251565e-16,325.5844239351484,36.0
values_73,4.0,16.0,772.0,8914.0,1.1102230246251565e-16,325.5844239351484,1071.0
values_66,4.0,32.0,709.0,9750.0,1.1102230246251565e-16,325.5844239351484,53.0
values_58,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1163.0
values_70,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1120.0
values_46,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,108.0
values_11,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1340.0
values_33,4.0,32.0,723.0,8913.0,1.1102230246251565e-16,325.5844239351484,582.0
values_72,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,578.0
values_6,4.0,32.0,720.0,8924.0,1.1102230246251565e-16,325.5844239351484,481.0
values_10,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1489.0
values_27,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1132.0
values_24,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,747.0
values_3,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1034.0
values_69,4.0,32.0,710.0,9750.0,1.1102230246251565e-16,325.5844239351484,126.0
values_36,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1293.0
values_21,4.0,32.0,723.0,8913.0,1.1102230246251565e-16,325.5844239351484,552.0
values_5,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,875.0
values_49,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,986.0
values_1,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,108.0
values_2,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,171.0
values_13,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,371.0
values_32,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1207.0
values_39,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,883.0
values_4,4.0,16.0,772.0,8915.0,1.1102230246251565e-16,325.5844239351484,868.0
values_65,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,928.0
values_85,4.0,32.0,711.0,9741.0,1.1102230246251565e-16,325.5844239351484,193.0
values_62,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1068.0
values_91,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1523.0
values_25,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,920.0
values_63,4.0,32.0,707.0,9739.0,1.1102230246251565e-16,325.5844239351484,36.0
values_12,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,558.0
values_79,4.0,16.0,772.0,8913.0,1.1102230246251565e-16,325.5844239351484,1595.0
values_54,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1129.0
values_9,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1153.0
values_74,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1174.0
values_22,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,803.0
values_89,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1350.0
values_48,4.0,32.0,710.0,9741.0,1.1102230246251565e-16,325.5844239351484,80.0
values_99,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,101.0
values_60,4.0,32.0,711.0,9741.0,1.1102230246251565e-16,325.5844239351484,209.0
values_34,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,671.0
values_31,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,928.0
values_37,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1375.0
values_76,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1002.0
values_19,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,677.0
values_45,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,1129.0
values_68,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,701.0
values_35,4.0,32.0,720.0,8925.0,1.1102230246251565e-16,325.5844239351484,259.0
values_80,4.0,16.0,772.0,8915.0,1.1102230246251565e-16,325.5844239351484,1222.0
values_77,4.0,16.0,772.0,8925.0,1.1102230246251565e-16,325.5844239351484,714.0
values_29,4.0,16.0,772.0,8924.0,1.1102230246251565e-16,325.5844239351484,1444.0
values_55,4.0,16.0,772.0,8914.0,1.1102230246251565e-16,325.5844239351484,1097.0
values_40,4.0,32.0,710.0,9751.0,1.1102230246251565e-16,325.5844239351484,157.0
