id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_30,94,75,340,309,269,100.00,100.00,75.00,100.00,1.253,0.276,0.304,0.349
values_96,114,85,410,374,324,100.00,100.00,87.50,100.00,1.341,0.278,0.305,0.352
values_15,51,50,189,170,150,100.00,100.00,87.50,100.00,1.020,0.270,0.300,0.340
values_16,51,50,189,170,150,100.00,100.00,87.50,100.00,1.020,0.270,0.300,0.340
values_94,114,80,399,365,315,100.00,100.00,87.50,100.00,1.425,0.286,0.312,0.362
values_90,114,85,410,374,324,100.00,100.00,75.00,100.00,1.341,0.278,0.305,0.352
values_52,102,79,368,335,291,100.00,100.00,87.50,100.00,1.291,0.277,0.304,0.351
values_78,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_20,67,58,245,222,194,100.00,100.00,87.50,100.00,1.155,0.273,0.302,0.345
values_53,102,74,357,326,282,100.00,100.00,87.50,100.00,1.378,0.286,0.313,0.362
values_43,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_42,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_0,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_61,59,54,217,196,172,100.00,100.00,75.00,100.00,1.093,0.272,0.301,0.343
values_97,114,85,410,374,324,100.00,100.00,87.50,100.00,1.341,0.278,0.305,0.352
values_14,51,50,189,170,150,100.00,100.00,87.50,100.00,1.020,0.270,0.300,0.340
values_87,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_50,102,74,357,326,282,100.00,100.00,87.50,100.00,1.378,0.286,0.313,0.362
values_83,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_67,59,49,206,187,163,100.00,100.00,87.50,100.00,1.204,0.286,0.316,0.362
values_86,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_23,67,58,245,222,194,100.00,100.00,87.50,100.00,1.155,0.273,0.302,0.345
values_64,59,49,206,187,163,100.00,100.00,87.50,100.00,1.204,0.286,0.316,0.362
values_44,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_71,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_93,114,85,410,374,324,100.00,100.00,87.50,100.00,1.341,0.278,0.305,0.352
values_88,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_26,67,58,245,222,194,100.00,100.00,87.50,100.00,1.155,0.273,0.302,0.345
values_59,102,74,357,326,282,100.00,100.00,87.50,100.00,1.378,0.286,0.313,0.362
values_57,102,74,357,326,282,100.00,100.00,87.50,100.00,1.378,0.286,0.313,0.362
values_82,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_75,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_51,102,79,368,335,291,100.00,100.00,87.50,100.00,1.291,0.277,0.304,0.351
values_7,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_92,114,85,410,374,324,100.00,100.00,87.50,100.00,1.341,0.278,0.305,0.352
values_56,102,79,368,335,291,100.00,100.00,87.50,100.00,1.291,0.277,0.304,0.351
values_47,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_95,114,85,410,374,324,100.00,100.00,87.50,100.00,1.341,0.278,0.305,0.352
values_98,114,85,410,374,324,100.00,100.00,75.00,100.00,1.341,0.278,0.305,0.352
values_8,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_18,51,45,178,161,141,100.00,100.00,87.50,100.00,1.133,0.287,0.317,0.362
values_28,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_81,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_17,51,45,178,161,141,100.00,100.00,87.50,100.00,1.133,0.287,0.317,0.362
values_38,94,70,329,300,260,100.00,100.00,87.50,100.00,1.343,0.286,0.313,0.362
values_41,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_73,67,58,245,222,194,100.00,100.00,87.50,100.00,1.155,0.273,0.302,0.345
values_66,59,54,217,196,172,100.00,100.00,87.50,100.00,1.093,0.272,0.301,0.343
values_58,102,74,357,326,282,100.00,100.00,87.50,100.00,1.378,0.286,0.313,0.362
values_70,67,58,245,222,194,100.00,100.00,87.50,100.00,1.155,0.273,0.302,0.345
values_46,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_11,51,50,189,170,150,100.00,100.00,87.50,100.00,1.020,0.270,0.300,0.340
values_33,94,75,340,309,269,100.00,100.00,87.50,100.00,1.253,0.276,0.304,0.349
values_72,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_6,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_10,51,50,189,170,150,100.00,100.00,87.50,100.00,1.020,0.270,0.300,0.340
values_27,67,58,245,222,194,100.00,100.00,87.50,100.00,1.155,0.273,0.302,0.345
values_24,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_3,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_69,59,49,206,187,163,100.00,100.00,87.50,100.00,1.204,0.286,0.316,0.362
values_36,94,75,340,309,269,100.00,100.00,87.50,100.00,1.253,0.276,0.304,0.349
values_21,67,58,245,222,194,100.00,100.00,75.00,100.00,1.155,0.273,0.302,0.345
values_5,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_49,126,91,452,413,357,100.00,100.00,87.50,100.00,1.385,0.279,0.305,0.353
values_1,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_2,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_13,51,45,178,161,141,100.00,100.00,87.50,100.00,1.133,0.287,0.317,0.362
values_32,94,75,340,309,269,100.00,100.00,87.50,100.00,1.253,0.276,0.304,0.349
values_39,94,75,340,309,269,100.00,100.00,87.50,100.00,1.253,0.276,0.304,0.349
values_4,138,97,494,452,390,100.00,100.00,75.00,100.00,1.423,0.279,0.305,0.354
values_65,59,54,217,196,172,100.00,100.00,75.00,100.00,1.093,0.272,0.301,0.343
values_85,78,67,284,257,225,100.00,100.00,75.00,100.00,1.164,0.275,0.304,0.347
values_62,59,54,217,196,172,100.00,100.00,87.50,100.00,1.093,0.272,0.301,0.343
values_91,114,85,410,374,324,100.00,100.00,87.50,100.00,1.341,0.278,0.305,0.352
