inputName,size,a[size]
values_84,13,"{2153473771440806893, -5185453013085273394, -4430169903928206875, 8888358575558564864, 7364737077862191250, 1115995168737351670, 5275151649825056186, -7821731834304970887, 614782029193285929, 4303925297929420326, -5981885450066168916, -6091984228589645713, -8970533534040428174"
values_30,17,"{-9116785222462683944, -1914981174573428204, -7894525021261990061, -4491705895226248575, -5300675621047933341, -4667528071122684828, 6906661893019518929, 6674932588897297950, 5199836914929907502, 7651925234025106688, 1555291142976130657, -18442997389301144, 4387231628540276430, -4335976827289508207, 5923883239272670826, -6841371599856370728, -2664514982926657252"
values_96,28,"{3089779444587466137, -8249893586174297197, -2594225144899432208, 7271826164980462091, 7652210677363566378, 8418160848325752534, 5843271463469621971, -1783996290350070022, -139171157964582504, 5837843256193296940, 1948593664786587942, 8319892784964978899, 7085828321614124661, 4690438503924951691, -8588245654816360193, 6156488744241437721, 878073632044835245, 231520281154839359, -1987775126212564563, -8708923110679521864, -6392816437146172603, 5494994225218481194, -2922337716064739596, -1986024506875407290, -5911676668837140053, 3766873799649261740, -1280373610690781709, -3585690697721237712"
values_15,7,"{-6325713698022090827, -3681207527075427458, 4729194602892695803, -6000188633469072596, -2103039484349541328, 3382189543905277540, 9173390574207085699"
values_16,9,"{-8645965315614547058, -2185008536790661026, 4897183969410523497, 1537005785946359056, 6195177431450002510, 7980406948273530318, -6574171842413081507, 8758634972432582191, -7082090894506514031"
values_94,3,"{2209069249145030400, -193345466945854839, 3064104893826088100"
values_90,4,"{8120729283804381533, 7876401209007918651, -4470261731293031116, 4611253515847323351"
values_52,6,"{8697169596243810577, 250074831052367811, 2147815377070934360, -3042151978967934293, 5379048015455893970, -3597382202228534836"
values_78,10,"{3813196971851194511, 1179095935792320766, -5497143822697451556, -5649837912803940333, 5006374244594974844, 173828657901406790, -6549549087244250312, -1805473528292989994, -5214513033350457029, 7348744115592872823"
values_20,23,"{-5396574972613253782, -1409201576702151708, -6342381066539225207, -6934570702664470474, 5818526066730273534, -6973383966867938355, -7897174928244324013, 4217088970030828917, -9111988816431408500, 473832490053362232, 3970709932455761957, 6631570787928786946, -1106750997402999326, -8664958559450925916, 8109783820188897896, -6326372677722727463, -6996492911106222776, 1384128465261740134, 6085519377814458537, 3724375058061315229, 4730718039502096853, -3918870509280677289, 558208898220636461"
values_53,30,"{7160883960607781827, -5426281307112355829, 6029322083236740883, 4987373447570659740, 3897703155085627802, -7942272005246557666, 4362597221110512031, 1802110010236839044, 8125535208939935672, 1914828968372241595, 7612611127089102506, -7992561436195955964, 5265114143359971955, 9008843387296759330, -2039128893272648668, 5181124571629042459, -1966501438219225294, -7080564803913591425, 2069758607320505243, 4357351854552915981, -7101875121538432996, 8581752906574406584, -263957056350708474, 2171649077786016374, -3015230843530272085, -6504544135610837278, 8958176946089139516, 2218528749474936265, -7871313253705645054, 5157368978750413915"
values_43,8,"{8480588048892029172, 1908886907898394992, -8181296254157158235, 3392095251390503107, 7797406352287901586, 1367696306973521562, 2269763020582493103, 2140322603576153787"
values_42,13,"{-5645693867646561750, 728436019402952541, 3969391456768270409, -2670513111899734486, -2088033654866583498, -1856978546631451352, 7025396475300432975, -2224281073443657157, 1028318175861722194, -633333156673304223, 3187924422712549386, 5095644615466326354, -4172460420630529544"
values_0,6,"{-3032607621898222987, 8275801372529162865, -5319351034777714508, 7126605594960526994, -3066346284776254800, 6539642208330215554"
values_61,9,"{-5504764188263806646, -8571988918762395469, -6205559728493513994, -8860763556360372512, -552320091398998596, -3482897906459091478, 3822046180527544469, -8560034584007690688, 7209042159519258282"
values_97,17,"{613413139220174819, -3252366627771035376, -6132266331966119323, -8163682455776890132, 635369237756177410, -7894936465526848024, -7323392397176167544, 9045703654888500535, -7456571428042091147, -5223117365326072691, -8901854190750715104, 2573986802779853774, 8594956094149246559, -7784913809416712419, -5154018859084106301, -2535349100566090116, 322454630454051900"
values_14,24,"{7210518917007908219, 4452729362015396528, 2104528383357636499, -7885675216266430858, -4773205182350409841, -6178205512640833671, -1474645022833729114, -654595562988952632, 7407583149017545337, -3089925610548525318, 6504244804648769796, -1305986191905377338, -3855266773912616075, 8248000556261619770, -7368913577365100696, -4741571168703615428, 8468848413599456356, 1594392707275745587, 4030855291933941912, -8728732075371390507, -7658923689389507376, 8948276894292844577, 6537842345256909993, 8954517423737843778"
values_87,23,"{5540773504482049079, 6448992331604295937, 8599974578613946225, 2905787521646189547, 8291374294685110684, -8644920610949167496, -505932279151579853, -2958263595727067998, -7439447949367518878, 6220096634775270653, 6409529771596822639, -379403133247607489, 7891447157308065305, 7282555165290845414, 8768209925238808694, 5536441349817028759, 2991462970514926669, -5248378346575546789, -4431298434408608981, -6833497951757075860, -8437267369370016456, 295828334831486736, -3539941643210365734"
