inputName,Total_Operators,Distinct_Operators,Total_Operands,Distinct_Operands,Program_Length,Vocabulary_Size,Program_Volume,Effort,Program_Level,Difficulty_Level,Time_To_Implement,Bugs_Delivered,Sloc,Decision_Point,Global_Variables,If,Loop,Goto,Assignment,Exit_Point,Function,Function_Call,Pointer_Dereferencing,Cyclomatic_Complexity,Syntactically_Reachable_Functions,Semantically_Reached_Functions,Coverage_Estimation,Main_Statements,==,!=,>,<,>=,<=,||,&&,++,--,=,-,*,/,%,+=,-=,*=,/=,%=,&,|,&=,^=,|=,<<,<<=,>>,>>=,+,^,~,+( ),-( ),!( ),~( ),For,While,Switch,Case,Break,Continue,Do,Char,short,int,double,float,long,signed,unsigned,[],array,struct,int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,TARGET_TYPE,TARGET_INDEX,CFC,IOR,CR,DR_char_string,DR_int_real,DR_gpp,STR,LR,BMR,DR_bit,Agpp,Aasp
values_84,197 ,30 ,81 ,38 ,278 ,68 ,1692.31 ,54109.53 ,0.03 ,31.97 ,3006.09 ,0.48 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.07407407407407407,0.4691358024691358,0.5432098765432098,0.0,0.08333333333333333,0.0,0.4691358024691358,0.8426994127129407,0.6943595163035357
values_30,1293 ,30 ,794 ,149 ,2087 ,179 ,15618.72 ,1248449.65 ,0.01 ,79.93 ,69358.31 ,3.86 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,369,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.007556675062972292,0.04785894206549118,0.055415617128463476,0.0,0.08333333333333333,0.0,0.04785894206549118,0.3376603805831842,0.06861392571572403
values_96,1273 ,30 ,794 ,146 ,2067 ,176 ,15418.65 ,1257781.26 ,0.01 ,81.58 ,69876.74 ,3.88 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,349,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.007556675062972292,0.04785894206549118,0.055415617128463476,0.0,0.08333333333333333,0.0,0.04785894206549118,0.3376603805831842,0.06861392571572403
values_15,250 ,30 ,114 ,60 ,364 ,90 ,2363.03 ,67346.48 ,0.04 ,28.50 ,3741.47 ,0.55 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.05263157894736842,0.3333333333333333,0.38596491228070173,0.0,0.08333333333333333,0.0,0.3333333333333333,0.7617189802678358,0.5279065614506471
values_16,245 ,30 ,114 ,66 ,359 ,96 ,2364.00 ,61249.13 ,0.04 ,25.91 ,3402.73 ,0.52 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.05263157894736842,0.3333333333333333,0.38596491228070173,0.0,0.08333333333333333,0.0,0.3333333333333333,0.7617189802678358,0.5279065614506471
values_94,481 ,30 ,261 ,121 ,742 ,151 ,5370.90 ,173777.35 ,0.03 ,32.36 ,9654.30 ,1.04 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,103,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.022988505747126436,0.14559386973180077,0.1685823754789272,0.0,0.08333333333333333,0.0,0.14559386973180077,0.5308161164935709,0.20261433399125975
values_90,1132 ,30 ,690 ,149 ,1822 ,179 ,13635.51 ,947164.78 ,0.01 ,69.46 ,52620.27 ,3.21 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,314,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.008695652173913044,0.05507246376811594,0.06376811594202898,0.0,0.08333333333333333,0.0,0.05507246376811594,0.3528477850789352,0.0762965020040966
values_52,448 ,30 ,234 ,116 ,682 ,146 ,4903.46 ,148371.95 ,0.03 ,30.26 ,8242.89 ,0.93 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.02564102564102564,0.1623931623931624,0.18803418803418803,0.0,0.08333333333333333,0.0,0.1623931623931624,0.5594512759156771,0.2309632588074947
values_78,1631 ,30 ,1026 ,150 ,2657 ,180 ,19905.85 ,2042340.59 ,0.01 ,102.60 ,113463.37 ,5.37 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,471,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.005847953216374269,0.037037037037037035,0.042884990253411304,0.0,0.08333333333333333,0.0,0.037037037037037035,0.3148691735128576,0.05782610199402079
values_20,225 ,30 ,101 ,53 ,326 ,83 ,2078.26 ,59406.95 ,0.03 ,28.58 ,3300.39 ,0.51 ,24,3,11,3,2,0,12,2,2,1,0,5,2,2,100.0,2,0,0,0,2,1,0,0,0,4,0,6,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,2,0,0,1,0,0,0,0,0,0,3,4,0.3333333333333333,0,0.25,0.0594059405940594,0.37623762376237624,0.43564356435643564,0.0,0.08333333333333333,0.0,0.37623762376237624,0.792584579184921,0.589187178267126
