id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,21,119,304,232,156,100.00,100.00,100.00,100.00,0.176,0.069,0.091,0.135
values_30,30,173,448,340,228,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.132
values_96,13,71,176,136,92,100.00,100.00,100.00,100.00,0.183,0.074,0.096,0.141
values_15,28,161,416,316,212,100.00,100.00,100.00,100.00,0.174,0.067,0.089,0.132
values_16,27,155,400,304,204,100.00,100.00,100.00,100.00,0.174,0.068,0.089,0.132
values_94,18,101,256,196,132,100.00,100.00,100.00,100.00,0.178,0.070,0.092,0.136
values_90,12,65,160,124,84,100.00,100.00,100.00,100.00,0.185,0.075,0.097,0.143
values_52,20,113,288,220,148,100.00,100.00,100.00,100.00,0.177,0.069,0.091,0.135
values_78,31,179,464,352,236,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.131
values_20,24,137,352,268,180,100.00,100.00,100.00,100.00,0.175,0.068,0.090,0.133
values_53,22,125,320,244,164,100.00,100.00,100.00,100.00,0.176,0.069,0.090,0.134
values_43,12,65,160,124,84,100.00,100.00,100.00,100.00,0.185,0.075,0.097,0.143
values_42,12,65,160,124,84,100.00,100.00,100.00,100.00,0.185,0.075,0.097,0.143
values_0,25,143,368,280,188,100.00,100.00,100.00,100.00,0.175,0.068,0.089,0.133
values_61,10,53,128,100,68,100.00,100.00,100.00,100.00,0.189,0.078,0.100,0.147
values_97,25,143,368,280,188,100.00,100.00,100.00,100.00,0.175,0.068,0.089,0.133
values_14,32,185,480,364,244,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.131
values_87,34,197,512,388,260,100.00,100.00,100.00,100.00,0.173,0.066,0.088,0.131
values_50,2,17,32,28,17,100.00,100.00,100.00,100.00,0.118,0.062,0.071,0.118
values_83,6,29,64,52,36,100.00,100.00,100.00,100.00,0.207,0.094,0.115,0.167
values_67,11,59,144,112,76,100.00,100.00,100.00,100.00,0.186,0.076,0.098,0.145
values_86,16,89,224,172,116,100.00,100.00,100.00,100.00,0.180,0.071,0.093,0.138
values_23,20,113,288,220,148,100.00,100.00,100.00,100.00,0.177,0.069,0.091,0.135
values_64,28,161,416,316,212,100.00,100.00,100.00,100.00,0.174,0.067,0.089,0.132
values_44,12,65,160,124,84,100.00,100.00,100.00,100.00,0.185,0.075,0.097,0.143
values_71,14,77,192,148,100,100.00,100.00,100.00,100.00,0.182,0.073,0.095,0.140
values_93,18,101,256,196,132,100.00,100.00,100.00,100.00,0.178,0.070,0.092,0.136
values_88,23,131,336,256,172,100.00,100.00,100.00,100.00,0.176,0.068,0.090,0.134
values_26,5,23,48,40,28,100.00,100.00,100.00,100.00,0.217,0.104,0.125,0.179
values_59,11,59,144,112,76,100.00,100.00,100.00,100.00,0.186,0.076,0.098,0.145
values_57,7,35,80,64,44,100.00,100.00,100.00,100.00,0.200,0.087,0.109,0.159
values_82,30,173,448,340,228,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.132
values_75,12,65,160,124,84,100.00,100.00,100.00,100.00,0.185,0.075,0.097,0.143
values_51,19,107,272,208,140,100.00,100.00,100.00,100.00,0.178,0.070,0.091,0.136
values_7,29,167,432,328,220,100.00,100.00,100.00,100.00,0.174,0.067,0.088,0.132
values_92,10,53,128,100,68,100.00,100.00,100.00,100.00,0.189,0.078,0.100,0.147
values_56,24,137,352,268,180,100.00,100.00,100.00,100.00,0.175,0.068,0.090,0.133
values_47,6,29,64,52,36,100.00,100.00,100.00,100.00,0.207,0.094,0.115,0.167
values_95,23,131,336,256,172,100.00,100.00,100.00,100.00,0.176,0.068,0.090,0.134
values_98,10,53,128,100,68,100.00,100.00,100.00,100.00,0.189,0.078,0.100,0.147
values_8,29,167,432,328,220,100.00,100.00,100.00,100.00,0.174,0.067,0.088,0.132
values_18,20,113,288,220,148,100.00,100.00,100.00,100.00,0.177,0.069,0.091,0.135
values_28,6,29,64,52,36,100.00,100.00,100.00,100.00,0.207,0.094,0.115,0.167
values_81,14,77,192,148,100,100.00,100.00,100.00,100.00,0.182,0.073,0.095,0.140
values_17,5,23,48,40,28,100.00,100.00,100.00,100.00,0.217,0.104,0.125,0.179
values_38,12,65,160,124,84,100.00,100.00,100.00,100.00,0.185,0.075,0.097,0.143
values_41,24,137,352,268,180,100.00,100.00,100.00,100.00,0.175,0.068,0.090,0.133
values_73,32,185,480,364,244,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.131
values_66,9,47,112,88,60,100.00,100.00,100.00,100.00,0.191,0.080,0.102,0.150
values_58,27,155,400,304,204,100.00,100.00,100.00,100.00,0.174,0.068,0.089,0.132
values_70,19,107,272,208,140,100.00,100.00,100.00,100.00,0.178,0.070,0.091,0.136
values_46,9,47,112,88,60,100.00,100.00,100.00,100.00,0.191,0.080,0.102,0.150
values_11,8,41,96,76,52,100.00,100.00,100.00,100.00,0.195,0.083,0.105,0.154
values_33,32,185,480,364,244,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.131
values_72,29,167,432,328,220,100.00,100.00,100.00,100.00,0.174,0.067,0.088,0.132
values_6,8,41,96,76,52,100.00,100.00,100.00,100.00,0.195,0.083,0.105,0.154
values_10,7,35,80,64,44,100.00,100.00,100.00,100.00,0.200,0.087,0.109,0.159
values_27,9,47,112,88,60,100.00,100.00,100.00,100.00,0.191,0.080,0.102,0.150
values_24,13,71,176,136,92,100.00,100.00,100.00,100.00,0.183,0.074,0.096,0.141
values_3,22,125,320,244,164,100.00,100.00,100.00,100.00,0.176,0.069,0.090,0.134
values_69,2,17,32,28,17,100.00,100.00,100.00,100.00,0.118,0.062,0.071,0.118
values_36,25,143,368,280,188,100.00,100.00,100.00,100.00,0.175,0.068,0.089,0.133
values_21,27,155,400,304,204,100.00,100.00,100.00,100.00,0.174,0.068,0.089,0.132
values_5,17,95,240,184,124,100.00,100.00,100.00,100.00,0.179,0.071,0.092,0.137
values_49,5,23,48,40,28,100.00,100.00,100.00,100.00,0.217,0.104,0.125,0.179
values_1,13,71,176,136,92,100.00,100.00,100.00,100.00,0.183,0.074,0.096,0.141
values_2,27,155,400,304,204,100.00,100.00,100.00,100.00,0.174,0.068,0.089,0.132
values_13,34,197,512,388,260,100.00,100.00,100.00,100.00,0.173,0.066,0.088,0.131
values_32,14,77,192,148,100,100.00,100.00,100.00,100.00,0.182,0.073,0.095,0.140
values_39,2,17,32,28,17,100.00,100.00,100.00,100.00,0.118,0.062,0.071,0.118
values_4,32,185,480,364,244,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.131
values_65,29,167,432,328,220,100.00,100.00,100.00,100.00,0.174,0.067,0.088,0.132
values_85,34,197,512,388,260,100.00,100.00,100.00,100.00,0.173,0.066,0.088,0.131
values_62,10,53,128,100,68,100.00,100.00,100.00,100.00,0.189,0.078,0.100,0.147
values_91,19,107,272,208,140,100.00,100.00,100.00,100.00,0.178,0.070,0.091,0.136
values_25,10,53,128,100,68,100.00,100.00,100.00,100.00,0.189,0.078,0.100,0.147
values_63,10,53,128,100,68,100.00,100.00,100.00,100.00,0.189,0.078,0.100,0.147
values_12,26,149,384,292,196,100.00,100.00,100.00,100.00,0.174,0.068,0.089,0.133
values_79,26,149,384,292,196,100.00,100.00,100.00,100.00,0.174,0.068,0.089,0.133
values_54,33,191,496,376,252,100.00,100.00,100.00,100.00,0.173,0.067,0.088,0.131
