id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,547,500,2697,1816,1410,100.00,100.00,100.00,100.00,1.094,0.203,0.301,0.388
values_30,45,46,206,145,104,100.00,100.00,80.00,100.00,0.978,0.218,0.310,0.433
values_96,1237,1100,6161,4096,3205,100.00,100.00,100.00,100.00,1.125,0.201,0.302,0.386
values_15,560,504,2741,1841,1432,100.00,100.00,100.00,100.00,1.111,0.204,0.304,0.391
values_16,580,520,2809,1923,1485,100.00,100.00,100.00,100.00,1.115,0.206,0.302,0.391
values_94,658,592,3245,2169,1691,100.00,100.00,100.00,100.00,1.111,0.203,0.303,0.389
values_90,991,884,4873,3310,2567,100.00,100.00,100.00,100.00,1.121,0.203,0.299,0.386
values_52,67,71,323,231,164,100.00,100.00,90.00,100.00,0.944,0.207,0.290,0.409
values_78,155,167,875,579,452,100.00,100.00,100.00,100.00,0.928,0.177,0.268,0.343
values_20,994,896,5021,3271,2578,100.00,100.00,100.00,100.00,1.109,0.198,0.304,0.386
values_53,903,820,4549,3006,2355,100.00,100.00,100.00,100.00,1.101,0.199,0.300,0.383
values_43,797,716,3949,2638,2058,100.00,100.00,100.00,100.00,1.113,0.202,0.302,0.387
values_42,998,912,5013,3359,2616,100.00,100.00,100.00,100.00,1.094,0.199,0.297,0.381
values_0,1104,1000,5585,3675,2885,100.00,100.00,100.00,100.00,1.104,0.198,0.300,0.383
values_61,1210,1072,6025,3987,3126,100.00,100.00,100.00,100.00,1.129,0.201,0.303,0.387
values_97,594,528,2873,1955,1514,100.00,100.00,100.00,100.00,1.125,0.207,0.304,0.392
values_14,192,207,1085,751,577,100.00,100.00,100.00,100.00,0.928,0.177,0.256,0.333
values_87,928,824,4565,3073,2392,100.00,100.00,100.00,100.00,1.126,0.203,0.302,0.388
values_50,320,356,1908,1276,993,100.00,100.00,100.00,100.00,0.899,0.168,0.251,0.322
values_83,375,412,2225,1512,1171,100.00,100.00,100.00,100.00,0.910,0.169,0.248,0.320
values_67,1282,1136,6457,4183,3308,100.00,100.00,100.00,100.00,1.129,0.199,0.306,0.388
values_86,167,191,988,663,514,100.00,100.00,100.00,100.00,0.874,0.169,0.252,0.325
values_23,1218,1088,6113,4021,3159,100.00,100.00,100.00,100.00,1.119,0.199,0.303,0.386
values_64,835,740,4089,2758,2145,100.00,100.00,100.00,100.00,1.128,0.204,0.303,0.389
values_44,557,492,2681,1820,1411,100.00,100.00,100.00,100.00,1.132,0.208,0.306,0.395
values_71,261,291,1548,1072,824,100.00,100.00,100.00,100.00,0.897,0.169,0.243,0.317
values_93,797,716,3949,2638,2058,100.00,100.00,100.00,100.00,1.113,0.202,0.302,0.387
values_88,365,404,2205,1450,1137,100.00,100.00,100.00,100.00,0.903,0.166,0.252,0.321
values_26,598,528,2925,1931,1514,100.00,100.00,100.00,100.00,1.133,0.204,0.310,0.395
values_59,287,323,1756,1164,910,100.00,100.00,100.00,100.00,0.889,0.163,0.247,0.315
values_57,941,860,4753,3142,2460,100.00,100.00,100.00,100.00,1.094,0.198,0.299,0.383
values_82,603,532,2909,1974,1531,100.00,100.00,100.00,100.00,1.133,0.207,0.305,0.394
values_75,91,91,437,308,234,100.00,100.00,100.00,100.00,1.000,0.208,0.295,0.389
values_51,184,211,1120,722,569,100.00,100.00,100.00,100.00,0.872,0.164,0.255,0.323
values_7,1303,1172,6617,4294,3391,100.00,100.00,100.00,100.00,1.112,0.197,0.303,0.384
values_92,970,864,4881,3167,2502,100.00,100.00,100.00,100.00,1.123,0.199,0.306,0.388
values_56,1266,1136,6345,4225,3303,100.00,100.00,100.00,100.00,1.114,0.200,0.300,0.383
values_47,135,147,735,514,392,100.00,100.00,100.00,100.00,0.918,0.184,0.263,0.344
values_95,544,488,2637,1795,1389,100.00,100.00,100.00,100.00,1.115,0.206,0.303,0.392
values_98,164,179,928,642,493,100.00,100.00,100.00,100.00,0.916,0.177,0.255,0.333
values_8,245,275,1459,990,766,100.00,100.00,100.00,100.00,0.891,0.168,0.247,0.320
values_18,214,235,1265,830,651,100.00,100.00,100.00,100.00,0.911,0.169,0.258,0.329
values_28,379,416,2253,1525,1183,100.00,100.00,100.00,100.00,0.911,0.168,0.249,0.320
values_81,795,724,3937,2676,2072,100.00,100.00,100.00,100.00,1.098,0.202,0.297,0.384
values_17,92,95,457,315,241,100.00,100.00,100.00,100.00,0.968,0.201,0.292,0.382
values_38,278,311,1680,1131,879,100.00,100.00,100.00,100.00,0.894,0.165,0.246,0.316
values_41,1221,1116,6245,4064,3203,100.00,100.00,100.00,100.00,1.094,0.196,0.300,0.381
values_73,607,548,2989,2002,1559,100.00,100.00,100.00,100.00,1.108,0.203,0.303,0.389
values_66,417,456,2497,1691,1313,100.00,100.00,100.00,100.00,0.914,0.167,0.247,0.318
values_58,842,784,4265,2865,2227,100.00,100.00,100.00,100.00,1.074,0.197,0.294,0.378
values_70,97,103,505,335,260,100.00,100.00,100.00,100.00,0.942,0.192,0.290,0.373
values_46,673,588,3257,2186,1704,100.00,100.00,100.00,100.00,1.145,0.207,0.308,0.395
values_11,125,131,670,450,349,100.00,100.00,100.00,100.00,0.954,0.187,0.278,0.358
values_33,1362,1232,6969,4501,3561,100.00,100.00,100.00,100.00,1.106,0.195,0.303,0.382
values_72,279,315,1700,1138,886,100.00,100.00,100.00,100.00,0.886,0.164,0.245,0.315
values_6,129,135,698,463,361,100.00,100.00,100.00,100.00,0.956,0.185,0.279,0.357
values_10,980,888,4913,3269,2554,100.00,100.00,100.00,100.00,1.104,0.199,0.300,0.384
values_27,1270,1136,6353,4231,3308,100.00,100.00,100.00,100.00,1.118,0.200,0.300,0.384
values_24,1292,1160,6505,4297,3370,100.00,100.00,100.00,100.00,1.114,0.199,0.301,0.383
values_3,101,107,533,348,272,100.00,100.00,100.00,100.00,0.944,0.189,0.290,0.371
values_69,157,175,892,623,476,100.00,100.00,100.00,100.00,0.897,0.176,0.252,0.330
values_36,207,231,1198,835,639,100.00,100.00,100.00,100.00,0.896,0.173,0.248,0.324
values_21,388,428,2329,1558,1214,100.00,100.00,100.00,100.00,0.907,0.167,0.249,0.320
values_5,986,896,5057,3235,2568,100.00,100.00,100.00,100.00,1.100,0.195,0.305,0.384
values_49,928,840,4689,3071,2415,100.00,100.00,100.00,100.00,1.105,0.198,0.302,0.384
values_1,386,440,2345,1609,1240,100.00,100.00,100.00,100.00,0.877,0.165,0.240,0.311
values_2,102,111,553,355,279,100.00,100.00,100.00,100.00,0.919,0.184,0.287,0.366
values_13,845,764,4217,2806,2192,100.00,100.00,100.00,100.00,1.106,0.200,0.301,0.385
values_32,236,263,1414,933,730,100.00,100.00,100.00,100.00,0.897,0.167,0.253,0.323
values_39,264,291,1579,1048,819,100.00,100.00,100.00,100.00,0.907,0.167,0.252,0.322
values_4,1207,1076,6037,3988,3128,100.00,100.00,100.00,100.00,1.122,0.200,0.303,0.386
values_65,162,183,940,643,495,100.00,100.00,100.00,100.00,0.885,0.172,0.252,0.327
values_85,700,632,3473,2323,1811,100.00,100.00,100.00,100.00,1.108,0.202,0.301,0.387
values_62,720,648,3585,2375,1859,100.00,100.00,100.00,100.00,1.111,0.201,0.303,0.387
values_91,602,544,2961,1989,1547,100.00,100.00,100.00,100.00,1.107,0.203,0.303,0.389
values_25,1217,1100,6121,4066,3180,100.00,100.00,100.00,100.00,1.106,0.199,0.299,0.383
values_63,655,580,3185,2148,1670,100.00,100.00,100.00,100.00,1.129,0.206,0.305,0.392
values_12,680,616,3361,2271,1763,100.00,100.00,100.00,100.00,1.104,0.202,0.299,0.386
values_79,30,26,100,74,53,100.00,80.00,60.00,100.00,1.154,0.300,0.405,0.566
values_54,207,231,1229,811,634,100.00,100.00,100.00,100.00,0.896,0.168,0.255,0.326
values_9,46,50,226,152,111,100.00,100.00,80.00,100.00,0.920,0.204,0.303,0.414
values_74,44,42,186,138,97,100.00,80.00,60.00,100.00,1.048,0.237,0.319,0.454
values_22,1245,1116,6293,4100,3233,100.00,100.00,100.00,100.00,1.116,0.198,0.304,0.385
values_89,749,684,3753,2492,1947,100.00,100.00,100.00,100.00,1.095,0.200,0.301,0.385
values_48,1344,1208,6825,4441,3504,100.00,100.00,100.00,100.00,1.113,0.197,0.303,0.384
values_99,729,668,3641,2440,1899,100.00,100.00,100.00,100.00,1.091,0.200,0.299,0.384
values_60,121,127,642,437,337,100.00,100.00,100.00,100.00,0.953,0.188,0.277,0.359
values_34,1067,964,5385,3534,2777,100.00,100.00,100.00,100.00,1.107,0.198,0.302,0.384
values_31,1014,896,5017,3331,2608,100.00,100.00,100.00,100.00,1.132,0.202,0.304,0.389
values_37,344,380,2045,1378,1070,100.00,100.00,100.00,100.00,0.905,0.168,0.250,0.321
values_76,1080,968,5429,3559,2799,100.00,100.00,100.00,100.00,1.116,0.199,0.303,0.386
values_19,923,836,4661,3058,2403,100.00,100.00,100.00,100.00,1.104,0.198,0.302,0.384
values_45,67,71,323,231,164,100.00,100.00,90.00,100.00,0.944,0.207,0.290,0.409
values_68,831,740,4081,2752,2140,100.00,100.00,100.00,100.00,1.123,0.204,0.302,0.388
values_35,219,243,1282,874,675,100.00,100.00,100.00,100.00,0.901,0.171,0.251,0.324
values_80,632,568,3129,2067,1619,100.00,100.00,100.00,100.00,1.113,0.202,0.306,0.390
values_77,195,207,1093,757,582,100.00,100.00,100.00,100.00,0.942,0.178,0.258,0.335
values_29,810,720,3993,2663,2080,100.00,100.00,100.00,100.00,1.125,0.203,0.304,0.389
values_55,73,83,391,258,190,100.00,100.00,100.00,100.00,0.880,0.187,0.283,0.384
values_40,263,299,1611,1056,828,100.00,100.00,100.00,100.00,0.880,0.163,0.249,0.318
