ID_VAL,DSP,BRAM,Flip_Flop,Area,min_Slack,Max_Freq,Clock_Cycles
values_84,4.0,16.0,687.0,6716.0,1.1102230246251565e-16,200.10405366767878,742.0
values_30,4.0,32.0,625.0,7553.0,1.1102230246251565e-16,200.10405366767878,122.0
values_96,4.0,16.0,687.0,6716.0,1.1102230246251565e-16,200.10405366767878,744.0
values_15,4.0,16.0,687.0,6726.0,1.1102230246251565e-16,200.10405366767878,846.0
values_16,4.0,16.0,687.0,6725.0,1.1102230246251565e-16,200.10405366767878,1030.0
values_94,4.0,32.0,635.0,6726.0,1.1102230246251565e-16,200.10405366767878,281.0
values_90,4.0,16.0,687.0,6725.0,1.1102230246251565e-16,200.10405366767878,1286.0
values_52,4.0,16.0,687.0,6716.0,1.1102230246251565e-16,200.10405366767878,704.0
values_78,4.0,16.0,687.0,6726.0,1.1102230246251565e-16,200.10405366767878,636.0
values_20,4.0,32.0,636.0,6715.0,1.1102230246251565e-16,200.10405366767878,536.0
values_53,4.0,16.0,687.0,6725.0,1.1102230246251565e-16,200.10405366767878,862.0
values_43,4.0,32.0,625.0,7554.0,1.1102230246251565e-16,200.10405366767878,98.0
values_42,4.0,32.0,635.0,6727.0,1.1102230246251565e-16,200.10405366767878,297.0
values_0,4.0,16.0,687.0,6716.0,1.1102230246251565e-16,200.10405366767878,1136.0
values_61,4.0,16.0,687.0,6726.0,1.1102230246251565e-16,200.10405366767878,1094.0
values_97,4.0,32.0,635.0,6726.0,1.1102230246251565e-16,200.10405366767878,287.0
values_14,4.0,32.0,635.0,6727.0,1.1102230246251565e-16,200.10405366767878,247.0
values_87,4.0,16.0,688.0,6713.0,1.1102230246251565e-16,200.10405366767878,1392.0
values_50,4.0,32.0,625.0,7554.0,1.1102230246251565e-16,200.10405366767878,152.0
values_83,4.0,16.0,687.0,6726.0,1.1102230246251565e-16,200.10405366767878,1264.0
values_67,4.0,16.0,687.0,6726.0,1.1102230246251565e-16,200.10405366767878,1264.0
values_86,4.0,32.0,635.0,6727.0,1.1102230246251565e-16,200.10405366767878,312.0
values_23,4.0,32.0,635.0,6727.0,1.1102230246251565e-16,200.10405366767878,469.0
values_64,4.0,16.0,687.0,6726.0,1.1102230246251565e-16,200.10405366767878,1234.0
values_44,4.0,16.0,687.0,6716.0,1.1102230246251565e-16,200.10405366767878,1186.0
